snapshot_date,snapshot_month,updated_at,brand,metric,inventory_units,products,variants,location_name,source_store,product_tag,is_complete_total,note
2026-08-23,2026-08,2026-08-23T11:16:21.893300+00:00,Cavali,Split Inventory — Corro Trailer,189,12,14,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-08-23,2026-08,2026-08-23T11:16:21.893300+00:00,Cavali,Split Inventory — Wellington WH,948,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-08-24,2026-08,2026-08-24T11:22:35.144008+00:00,Cavali,Collective Inventory,8771,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-08-24,2026-08,2026-08-24T11:22:35.144008+00:00,Cavali,Split Inventory — Corro Side Total,1137,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-08-24,2026-08,2026-08-24T11:22:35.144008+00:00,Cavali,Split Inventory — Corro Trailer,189,12,14,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-08-24,2026-08,2026-08-24T11:22:35.144008+00:00,Cavali,Split Inventory — Wellington WH,948,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-08-25,2026-08,2026-08-25T11:21:49.779665+00:00,Cavali,Collective Inventory,8824,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-08-25,2026-08,2026-08-25T11:21:49.779665+00:00,Cavali,Split Inventory — Corro Side Total,1137,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-08-25,2026-08,2026-08-25T11:21:49.779665+00:00,Cavali,Split Inventory — Corro Trailer,189,12,14,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-08-25,2026-08,2026-08-25T11:21:49.779665+00:00,Cavali,Split Inventory — Wellington WH,948,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-08-26,2026-08,2026-08-26T11:23:46.226590+00:00,Cavali,Collective Inventory,8836,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-08-26,2026-08,2026-08-26T11:23:46.226590+00:00,Cavali,Split Inventory — Corro Side Total,1137,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-08-26,2026-08,2026-08-26T11:23:46.226590+00:00,Cavali,Split Inventory — Corro Trailer,189,12,14,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-08-26,2026-08,2026-08-26T11:23:46.226590+00:00,Cavali,Split Inventory — Wellington WH,948,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-08-27,2026-08,2026-08-27T20:56:10.809889+00:00,Cavali,Collective Inventory,8825,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-08-27,2026-08,2026-08-27T20:56:10.809889+00:00,Cavali,Split Inventory — Corro Side Total,1136,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-08-27,2026-08,2026-08-27T20:56:10.809889+00:00,Cavali,Split Inventory — Corro Trailer,189,12,14,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-08-27,2026-08,2026-08-27T20:56:10.809889+00:00,Cavali,Split Inventory — Wellington WH,947,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-08-28,2026-08,2026-08-28T21:21:24.582456+00:00,Cavali,Collective Inventory,8820,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-08-28,2026-08,2026-08-28T21:21:24.582456+00:00,Cavali,Split Inventory — Corro Side Total,1405,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-08-28,2026-08,2026-08-28T21:21:24.582456+00:00,Cavali,Split Inventory — Corro Trailer,458,18,23,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-08-28,2026-08,2026-08-28T21:21:24.582456+00:00,Cavali,Split Inventory — Wellington WH,947,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-08-29,2026-08,2026-08-29T15:27:46.835516+00:00,Cavali,Collective Inventory,8820,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-08-29,2026-08,2026-08-29T15:27:46.835516+00:00,Cavali,Split Inventory — Corro Side Total,1405,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-08-29,2026-08,2026-08-29T15:27:46.835516+00:00,Cavali,Split Inventory — Corro Trailer,458,18,23,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-08-29,2026-08,2026-08-29T15:27:46.835516+00:00,Cavali,Split Inventory — Wellington WH,947,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-08-30,2026-08,2026-08-30T15:10:55.507587+00:00,Cavali,Collective Inventory,8820,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-08-30,2026-08,2026-08-30T15:10:55.507587+00:00,Cavali,Split Inventory — Corro Side Total,1405,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-08-30,2026-08,2026-08-30T15:10:55.507587+00:00,Cavali,Split Inventory — Corro Trailer,458,18,23,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-08-30,2026-08,2026-08-30T15:10:55.507587+00:00,Cavali,Split Inventory — Wellington WH,947,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-08-31,2026-08,2026-08-31T17:49:54.359199+00:00,Cavali,Collective Inventory,8810,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-08-31,2026-08,2026-08-31T17:49:54.359199+00:00,Cavali,Split Inventory — Corro Side Total,1404,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-08-31,2026-08,2026-08-31T17:49:54.359199+00:00,Cavali,Split Inventory — Corro Trailer,457,18,23,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-08-31,2026-08,2026-08-31T17:49:54.359199+00:00,Cavali,Split Inventory — Wellington WH,947,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-09-01,2026-09,2026-09-01T15:23:36.853227+00:00,Cavali,Collective Inventory,8805,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-09-01,2026-09,2026-09-01T15:23:36.853227+00:00,Cavali,Split Inventory — Corro Side Total,1399,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-09-01,2026-09,2026-09-01T15:23:36.853227+00:00,Cavali,Split Inventory — Corro Trailer,457,18,23,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-09-01,2026-09,2026-09-01T15:23:36.853227+00:00,Cavali,Split Inventory — Wellington WH,942,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-09-02,2026-09,2026-09-02T14:52:34.903818+00:00,Cavali,Collective Inventory,8802,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-09-02,2026-09,2026-09-02T14:52:34.903818+00:00,Cavali,Split Inventory — Corro Side Total,1399,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-09-02,2026-09,2026-09-02T14:52:34.903818+00:00,Cavali,Split Inventory — Corro Trailer,457,18,23,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-09-02,2026-09,2026-09-02T14:52:34.903818+00:00,Cavali,Split Inventory — Wellington WH,942,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-09-03,2026-09,2026-09-03T14:51:48.645533+00:00,Cavali,Collective Inventory,8793,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-09-03,2026-09,2026-09-03T14:51:48.645533+00:00,Cavali,Split Inventory — Corro Side Total,1398,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-09-03,2026-09,2026-09-03T14:51:48.645533+00:00,Cavali,Split Inventory — Corro Trailer,456,18,23,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-09-03,2026-09,2026-09-03T14:51:48.645533+00:00,Cavali,Split Inventory — Wellington WH,942,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
2026-09-04,2026-09,2026-09-04T14:40:19.642812+00:00,Cavali,Collective Inventory,9059,46,375,Cavali Club HQ + Kensington via Shopify Collective,Cavali Shopify,Shopify Collective | ALL COLLECTIVE,true,Available inventory only at Cavali Club HQ and Kensington via Shopify Collective.
2026-09-04,2026-09,2026-09-04T14:40:19.642812+00:00,Cavali,Split Inventory — Corro Side Total,1397,50,66,New Wellington Warehouse + Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Wellington + Trailer only. Does NOT include the remaining split inventory allocated to Cavali Shopify.
2026-09-04,2026-09,2026-09-04T14:40:19.642812+00:00,Cavali,Split Inventory — Corro Trailer,455,18,23,Corro Trailer 1,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at Corro Trailer 1 only.
2026-09-04,2026-09,2026-09-04T14:40:19.642812+00:00,Cavali,Split Inventory — Wellington WH,942,50,66,New Wellington Warehouse,Corro Shopify,CAVALI INVENTORY SPLIT,false,Corro-side split inventory at New Wellington Warehouse only.
